Round#,Training Loss,ACC,Pre,recall,f1-score
1,1.2350807,0.5351851851851852,0.5416625933079073,0.5353375269608098,0.5196454116729142
2,0.67477757,0.7562222222222222,0.7599723264942801,0.7555528807158327,0.7507112869124307
3,0.31939268,0.8889259259259259,0.8928070314121227,0.8881580903576483,0.8870911574555784
4,0.121203974,0.9637407407407409,0.9643460677717466,0.9634732665245098,0.9631995323385739
5,0.04047911,0.9896851851851851,0.9896106955212133,0.9895794834223605,0.989504004567066
6,0.014540201,0.9969999999999999,0.9970119656984975,0.9969360534156587,0.9969598223234695
7,0.0054263286,0.9988518518518518,0.9988480652575513,0.9988415071093024,0.9988427990412736
8,0.0023243374,0.9993518518518518,0.999342437435844,0.9993485855253098,0.9993449530138683
9,0.0014942766,0.999537037037037,0.999536216490374,0.9995253147553618,0.9995299440749535
10,0.001309306,0.9994444444444446,0.9994432966799837,0.999439396297564,0.9994407395864748
11,0.0016681061,0.9993333333333334,0.9993261810204572,0.999332231076067,0.9993279435799917
12,0.002815862,0.9992222222222222,0.9992216347497884,0.9992187666656644,0.9992187027130257
13,0.0019461006,0.9995925925925926,0.9995915096539795,0.9995854048337737,0.9995873885117277
14,0.0042216666,0.9993518518518518,0.9993580759909501,0.9993486422388822,0.9993510837151917
15,0.0018930184,0.9997777777777779,0.9997805834488694,0.9997744677286937,0.9997767955654174
16,0.0015944373,0.9997777777777778,0.9997809950479919,0.9997749741178531,0.9997777088438976
17,0.0010702235,0.9999074074074075,0.9999070970729823,0.9999041415201347,0.9999055299295883
18,0.0020602117,0.9997962962962964,0.9997980106566977,0.9997966364828093,0.9997971010206582
19,0.0026865408,0.9997592592592595,0.999762516218597,0.9997554837859288,0.9997585172955299
20,0.0027642942,0.9998148148148148,0.9998136702556094,0.9998089551546329,0.9998110988657064
21,0.0018746607,0.9998518518518518,0.9998528476157048,0.9998468969012448,0.9998496820774603
22,0.0013823956,0.9999074074074075,0.9999089156869239,0.9999085182258451,0.9999086654411975
23,0.0011940524,0.999925925925926,0.9999236010473863,0.9999261944746716,0.9999248270052477
24,0.0008955691,0.9999444444444446,0.9999435517297801,0.9999440247593678,0.9999437355189171
25,0.00029946145,0.9999814814814816,0.9999808795411089,0.9999810606060606,0.9999809519490238
26,0.00059708575,0.999962962962963,0.999961161387632,0.9999611760895923,0.9999611309905667
27,0.0008955691,0.9999444444444444,0.9999445505300477,0.9999433773956348,0.9999439115187061
28,0.0011940526,0.999925925925926,0.9999262121289781,0.9999268891874966,0.9999264829674059
29,0.0006432445,0.9999444444444446,0.9999447088230345,0.9999436405666919,0.9999441226281693
30,0.0005970858,0.9999629629629629,0.9999617540485497,0.9999628577895756,0.9999622702576835
31,0.0008955691,0.9999444444444444,0.9999435357901303,0.9999457967549266,0.999944615112718
32,0.00059708586,0.999962962962963,0.9999634338734692,0.9999627416593304,0.9999630536448068
33,0.00029860248,0.9999814814814816,0.9999831932773109,0.9999797979797979,0.9999814783476101
34,0.0002986025,0.9999814814814816,0.9999808795411089,0.9999823008849557,0.999981573226084
35,0.0005970857,0.999962962962963,0.9999630488928315,0.9999634907745147,0.9999632360449869
36,0.0005970858,0.999962962962963,0.9999617310574218,0.9999637953702554,0.9999627284272183
37,0.00029860256,0.9999814814814816,0.9999810606060606,0.999981308411215,0.9999811667900638
38,0.00059708586,0.999962962962963,0.9999604870418457,0.9999627307207823,0.9999615718464815
39,0.0002986025,0.9999814814814816,0.9999812734082397,0.9999811676082864,0.9999812028580841
40,0.00029860248,0.9999814814814816,0.9999823633156966,0.9999812382739212,0.9999817842033074
41,0.0005970858,0.999962962962963,0.9999643991726925,0.9999636243386243,0.9999639793323268
42,1.192093e-07,1.0,1.0,1.0,1.0
43,0.0002986025,0.9999814814814816,0.9999815837937385,0.9999824868651489,0.9999820191682453
44,0.00029860248,0.9999814814814816,0.9999802371541502,0.9999805825242719,0.9999803906301817
45,1.192093e-07,1.0,1.0,1.0,1.0
46,1.192093e-07,1.0,1.0,1.0,1.0
47,0.00029860256,0.9999814814814816,0.9999814126394053,0.9999824561403509,0.999981918043163
48,1.192093e-07,1.0,1.0,1.0,1.0
49,1.192093e-07,1.0,1.0,1.0,1.0
50,1.192093e-07,1.0,1.0,1.0,1.0
51,1.192093e-07,1.0,1.0,1.0,1.0
52,1.192093e-07,1.0,1.0,1.0,1.0
53,1.192093e-07,1.0,1.0,1.0,1.0
54,1.192093e-07,1.0,1.0,1.0,1.0
55,0.0005970858,0.999962962962963,0.9999630312969796,0.9999624765478424,0.9999627015565841
56,1.192093e-07,1.0,1.0,1.0,1.0
57,1.192093e-07,1.0,1.0,1.0,1.0
58,1.192093e-07,1.0,1.0,1.0,1.0
59,1.192093e-07,1.0,1.0,1.0,1.0
60,1.192093e-07,1.0,1.0,1.0,1.0
61,0.0002986025,0.9999814814814816,0.9999827288428325,0.9999807692307693,0.9999817323185731
62,1.192093e-07,1.0,1.0,1.0,1.0
63,1.192093e-07,1.0,1.0,1.0,1.0
64,1.192093e-07,1.0,1.0,1.0,1.0
65,0.0002986025,0.9999814814814816,0.9999814126394053,0.9999823321554772,0.999981855941439
66,0.0002986025,0.9999814814814816,0.9999815837937385,0.9999818181818181,0.9999816842290645
67,1.192093e-07,1.0,1.0,1.0,1.0
68,0.00029860248,0.9999814814814816,0.9999805447470816,0.9999803921568627,0.9999804493589665
69,1.192093e-07,1.0,1.0,1.0,1.0
70,1.192093e-07,1.0,1.0,1.0,1.0
71,1.192093e-07,1.0,1.0,1.0,1.0
72,0.00029860256,0.9999814814814816,0.9999816513761468,0.9999821746880571,0.9999818966569431
73,1.192093e-07,1.0,1.0,1.0,1.0
74,1.192093e-07,1.0,1.0,1.0,1.0
75,1.192093e-07,1.0,1.0,1.0,1.0
76,1.192093e-07,1.0,1.0,1.0,1.0
77,1.192093e-07,1.0,1.0,1.0,1.0
78,1.192093e-07,1.0,1.0,1.0,1.0
79,1.192093e-07,1.0,1.0,1.0,1.0
80,1.192093e-07,1.0,1.0,1.0,1.0
81,1.192093e-07,1.0,1.0,1.0,1.0
82,1.192093e-07,1.0,1.0,1.0,1.0
83,1.192093e-07,1.0,1.0,1.0,1.0
84,1.192093e-07,1.0,1.0,1.0,1.0
85,1.192093e-07,1.0,1.0,1.0,1.0
86,1.192093e-07,1.0,1.0,1.0,1.0
87,1.192093e-07,1.0,1.0,1.0,1.0
88,1.192093e-07,1.0,1.0,1.0,1.0
89,1.192093e-07,1.0,1.0,1.0,1.0
90,1.192093e-07,1.0,1.0,1.0,1.0
91,1.192093e-07,1.0,1.0,1.0,1.0
92,1.192093e-07,1.0,1.0,1.0,1.0
93,1.192093e-07,1.0,1.0,1.0,1.0
94,1.192093e-07,1.0,1.0,1.0,1.0
95,1.192093e-07,1.0,1.0,1.0,1.0
96,1.192093e-07,1.0,1.0,1.0,1.0
97,1.192093e-07,1.0,1.0,1.0,1.0
98,1.192093e-07,1.0,1.0,1.0,1.0
99,1.192093e-07,1.0,1.0,1.0,1.0
100,1.192093e-07,1.0,1.0,1.0,1.0
